DATE,GEPUCURRENT
1997-01-01,77.06061690972928
1997-02-01,79.94052094115857
1997-03-01,68.91716672071466
1997-04-01,73.9129109586382
1997-05-01,72.34647070088035
1997-06-01,78.80710383039855
1997-07-01,63.918349965606275
1997-08-01,63.354226067440806
1997-09-01,66.57602212775866
1997-10-01,81.83047627833007
1997-11-01,96.31318407496279
1997-12-01,106.05340239379395
1998-01-01,99.07483010513704
1998-02-01,86.75999073265547
1998-03-01,88.09005227284418
1998-04-01,79.34661751062023
1998-05-01,85.87775183599688
1998-06-01,84.89517330907321
1998-07-01,100.75299854818425
1998-08-01,114.57804777912284
1998-09-01,141.88600329586797
1998-10-01,118.89787957795964
1998-11-01,97.1009595841405
1998-12-01,91.02060514996226
1999-01-01,97.11010583594766
1999-02-01,80.88144306519378
1999-03-01,65.15751746564227
1999-04-01,63.367784623344924
1999-05-01,71.06230362532321
1999-06-01,72.02946809724932
1999-07-01,72.15223538918255
1999-08-01,62.09012596213032
1999-09-01,66.73541529758134
1999-10-01,65.50958015140945
1999-11-01,68.44163700674538
1999-12-01,60.26635694061331
2000-01-01,63.73823743440347
2000-02-01,58.820588923598315
2000-03-01,61.28990568994111
2000-04-01,64.55771657384152
2000-05-01,87.16496937865253
2000-06-01,88.43054233374654
2000-07-01,65.12428779174914
2000-08-01,54.24043476697261
2000-09-01,61.00056348698086
2000-10-01,68.94422772874351
2000-11-01,109.42051579702417
2000-12-01,102.67038462254685
2001-01-01,100.55933283388254
2001-02-01,100.72098325372832
2001-03-01,113.30021329425938
2001-04-01,109.79321147874015
2001-05-01,84.76497428015779
2001-06-01,73.92939989894546
2001-07-01,100.01710583094994
2001-08-01,85.45208729145305
2001-09-01,179.71551861064876
2001-10-01,170.49306593301856
2001-11-01,126.28015311949902
2001-12-01,107.96470602626847
2002-01-01,107.12692274961934
2002-02-01,89.98507608851244
2002-03-01,78.66736017128704
2002-04-01,83.63107883214681
2002-05-01,79.20147180153421
2002-06-01,94.5311044855644
2002-07-01,100.58455242159211
2002-08-01,107.565612743661
2002-09-01,123.0204390652333
2002-10-01,117.36583043181355
2002-11-01,122.48389186980589
2002-12-01,118.91281980328337
2003-01-01,127.23763486344517
2003-02-01,134.99492424368378
2003-03-01,167.58555834743046
2003-04-01,134.68225106798855
2003-05-01,105.51862590801483
2003-06-01,89.81742763972152
2003-07-01,79.82666908075014
2003-08-01,69.01384333145765
2003-09-01,81.50775330460017
2003-10-01,76.19244434466601
2003-11-01,72.87761305924717
2003-12-01,70.91920813032891
2004-01-01,72.40739029799751
2004-02-01,71.09017990645474
2004-03-01,78.14524692242811
2004-04-01,75.70413399021022
2004-05-01,90.56085268207059
2004-06-01,76.65120298530589
2004-07-01,73.7635060243764
2004-08-01,68.74185807676008
2004-09-01,79.07558514688799
2004-10-01,88.53341746473879
2004-11-01,84.18439091494497
2004-12-01,65.01078972823973
2005-01-01,57.63364117777009
2005-02-01,54.24893038188551
2005-03-01,54.15106855349116
2005-04-01,68.27536997818224
2005-05-01,69.26791573675195
2005-06-01,70.33346148142314
2005-07-01,61.34146692662038
2005-08-01,61.780241935197935
2005-09-01,93.37995510510287
2005-10-01,64.29312879275825
2005-11-01,67.17645042003186
2005-12-01,61.1206381277487
2006-01-01,68.66977950907675
2006-02-01,57.72640416389477
2006-03-01,58.53243078445905
2006-04-01,72.78059526378026
2006-05-01,63.027125857184934
2006-06-01,73.17036111506758
2006-07-01,67.51088246730215
2006-08-01,57.550389926639205
2006-09-01,59.28232654299254
2006-10-01,59.99025982360916
2006-11-01,57.320211043720136
2006-12-01,56.5580234895097
2007-01-01,64.86771317195661
2007-02-01,54.508828710416054
2007-03-01,63.709835815172084
2007-04-01,59.93627479641265
2007-05-01,55.92897651607393
2007-06-01,56.71131152268679
2007-07-01,48.95115731897249
2007-08-01,76.55174309882533
2007-09-01,99.12810268831882
2007-10-01,79.20840850497093
2007-11-01,83.92300666962588
2007-12-01,94.41579120115126
2008-01-01,134.2510787247809
2008-02-01,101.74377942474935
2008-03-01,117.04574708658579
2008-04-01,91.7245208002838
2008-05-01,77.3901424929064
2008-06-01,87.99412513788236
2008-07-01,93.74897788106347
2008-08-01,90.0023054678435
2008-09-01,167.6056974662112
2008-10-01,204.7509494163206
2008-11-01,143.23814626511182
2008-12-01,146.34394973226074
2009-01-01,146.61495513089116
2009-02-01,149.57140314645147
2009-03-01,132.76724304090683
2009-04-01,104.2057189990959
2009-05-01,103.77392811038445
2009-06-01,109.3236005387938
2009-07-01,101.24992092818357
2009-08-01,98.27686591017368
2009-09-01,100.0551334365008
2009-10-01,86.36076236183719
2009-11-01,99.52942164990253
2009-12-01,98.78470798715365
2010-01-01,112.95307973506848
2010-02-01,111.31548774824317
2010-03-01,106.74108649014711
2010-04-01,103.39567801831136
2010-05-01,147.46470675296953
2010-06-01,133.4745215475344
2010-07-01,140.93893313262373
2010-08-01,120.86405438146257
2010-09-01,133.07024757621556
2010-10-01,122.16065295897005
2010-11-01,127.28700187202777
2010-12-01,129.4104847278465
2011-01-01,110.24922379863341
2011-02-01,93.28750926982785
2011-03-01,125.9736100087073
2011-04-01,114.68749161377343
2011-05-01,88.66559861258415
2011-06-01,116.90717592230858
2011-07-01,155.21546421634275
2011-08-01,214.51523365759377
2011-09-01,190.84075580985083
2011-10-01,165.0452677891457
2011-11-01,197.38245976378676
2011-12-01,181.28490904891137
2012-01-01,161.0148443781161
2012-02-01,141.61004341948367
2012-03-01,134.27328717397242
2012-04-01,126.42982204256312
2012-05-01,159.4198690485478
