Exchange Date,Close,Net,%Chg,Open,Low,High,
26-Jul-2023,"2,747.17",-8.08,-0.29%,"2,748.97","2,738.76","2,755.55",
25-Jul-2023,"2,755.26",+9.41,+0.34%,"2,746.88","2,746.38","2,761.46",
24-Jul-2023,"2,745.85",+22.91,+0.84%,"2,739.41","2,736.44","2,748.86",
21-Jul-2023,"2,722.93",+0.35,+0.01%,"2,724.06","2,720.11","2,731.71",
20-Jul-2023,"2,722.58",+0.66,+0.02%,"2,739.86","2,719.18","2,742.26",
19-Jul-2023,"2,721.92",+11.66,+0.43%,"2,717.47","2,715.09","2,728.53",
18-Jul-2023,"2,710.26",+20.26,+0.75%,"2,692.25","2,690.22","2,711.86",
17-Jul-2023,"2,690.00",+1.89,+0.07%,"2,684.71","2,679.63","2,694.95",
14-Jul-2023,"2,688.11",-2.30,-0.09%,"2,691.89","2,684.27","2,697.50",
13-Jul-2023,"2,690.41",+6.03,+0.22%,"2,662.57","2,662.19","2,694.61",
12-Jul-2023,"2,684.38",+1.17,+0.04%,"2,656.45","2,655.82","2,690.56",
11-Jul-2023,"2,683.20",+18.38,+0.69%,"2,666.22","2,665.75","2,686.21",
10-Jul-2023,"2,664.82",-1.54,-0.06%,"2,659.35","2,655.07","2,667.30",
07-Jul-2023,"2,666.36",-19.92,-0.74%,"2,666.88","2,662.60","2,685.35",
06-Jul-2023,"2,686.29",-42.26,-1.55%,"2,717.70","2,673.28","2,717.83",
05-Jul-2023,"2,728.55",-3.54,-0.13%,"2,736.96","2,723.67","2,737.87",
04-Jul-2023,"2,732.09",+8.20,+0.30%,"2,731.52","2,730.18","2,732.87",
03-Jul-2023,"2,723.90",+4.63,+0.17%,"2,719.88","2,718.77","2,724.26",
30-Jun-2023,"2,719.27",+18.74,+0.69%,"2,687.63","2,686.06","2,722.94",
29-Jun-2023,"2,700.53",+19.81,+0.74%,"2,693.87","2,688.05","2,700.53",
28-Jun-2023,"2,680.72",+15.16,+0.57%,"2,678.72","2,673.66","2,687.75",
27-Jun-2023,"2,665.56",+10.65,+0.40%,"2,641.69","2,640.29","2,668.81",
26-Jun-2023,"2,654.91",-10.48,-0.39%,"2,662.70","2,654.61","2,670.12",
23-Jun-2023,"2,665.39",-9.27,-0.35%,"2,691.89","2,663.02","2,691.94",
22-Jun-2023,"2,674.67",+9.21,+0.35%,"2,674.64","2,661.83","2,675.37",
21-Jun-2023,"2,665.45",-27.43,-1.02%,"2,676.56","2,661.87","2,677.83",
20-Jun-2023,"2,692.88",-12.77,-0.47%,"2,706.29","2,683.37","2,707.51",
19-Jun-2023,"2,705.65",-3.89,-0.14%,"2,712.82","2,704.93","2,712.82",
16-Jun-2023,"2,709.53",-0.77,-0.03%,"2,715.21","2,708.72","2,727.99",
15-Jun-2023,"2,710.31",-3.76,-0.14%,"2,683.82","2,678.68","2,717.88",
14-Jun-2023,"2,714.06",-0.87,-0.03%,"2,705.09","2,694.54","2,722.53",
13-Jun-2023,"2,714.93",+13.42,+0.50%,"2,694.54","2,694.26","2,717.80",
12-Jun-2023,"2,701.51",+16.46,+0.61%,"2,682.72","2,681.81","2,702.44",
09-Jun-2023,"2,685.05",+11.70,+0.44%,"2,683.37","2,680.99","2,696.69",
08-Jun-2023,"2,673.35",-6.45,-0.24%,"2,658.52","2,656.53","2,675.57",
07-Jun-2023,"2,679.80",-12.16,-0.45%,"2,692.19","2,676.61","2,698.87",
06-Jun-2023,"2,691.97",+12.48,+0.47%,"2,684.01","2,679.96","2,694.33",
05-Jun-2023,"2,679.48",-4.42,-0.16%,"2,681.87","2,676.98","2,691.21",
02-Jun-2023,"2,683.90",+52.49,+1.99%,"2,647.87","2,647.87","2,686.09",
01-Jun-2023,"2,631.41",+11.12,+0.42%,"2,605.40","2,605.14","2,638.50",
31-May-2023,"2,620.29",-12.35,-0.47%,"2,642.39","2,613.61","2,642.42",
30-May-2023,"2,632.64",-11.38,-0.43%,"2,636.34","2,625.94","2,648.70",
29-May-2023,"2,644.02",+7.00,+0.27%,"2,643.70","2,643.50","2,647.00",
26-May-2023,"2,637.02",+27.77,+1.06%,"2,607.64","2,607.53","2,641.38",
25-May-2023,"2,609.25",+14.50,+0.56%,"2,600.11","2,596.23","2,615.00",
24-May-2023,"2,594.75",-21.21,-0.81%,"2,619.63","2,588.96","2,620.45",
23-May-2023,"2,615.95",-16.27,-0.62%,"2,644.01","2,614.63","2,645.09",
22-May-2023,"2,632.22",+0.54,+0.02%,"2,631.85","2,627.30","2,639.43",
19-May-2023,"2,631.69",-5.62,-0.21%,"2,630.34","2,629.17","2,642.82",
18-May-2023,"2,637.31",+34.75,+1.34%,"2,621.39","2,618.26","2,639.22",
17-May-2023,"2,602.55",+22.31,+0.86%,"2,585.34","2,580.78","2,606.28",
16-May-2023,"2,580.24",-13.08,-0.50%,"2,597.64","2,579.80","2,598.97",
15-May-2023,"2,593.32",+3.58,+0.14%,"2,583.38","2,580.65","2,596.24",
12-May-2023,"2,589.74",+10.63,+0.41%,"2,594.48","2,577.63","2,600.64",
11-May-2023,"2,579.12",+8.43,+0.33%,"2,586.76","2,566.93","2,587.52",
10-May-2023,"2,570.68",+1.98,+0.08%,"2,564.23","2,553.59","2,579.58",
09-May-2023,"2,568.70",-0.71,-0.03%,"2,579.03","2,564.91","2,581.00",
08-May-2023,"2,569.41",+7.92,+0.31%,"2,564.88","2,562.99","2,570.63",
05-May-2023,"2,561.49",+37.42,+1.48%,"2,523.76","2,522.94","2,567.51",
04-May-2023,"2,524.07",-4.47,-0.18%,"2,541.05","2,519.37","2,542.70",
03-May-2023,"2,528.54",-19.93,-0.78%,"2,535.94","2,528.49","2,553.21",
02-May-2023,"2,548.47",-33.40,-1.29%,"2,575.32","2,535.75","2,577.79",
01-May-2023,"2,581.86",+8.43,+0.33%,"2,583.66","2,579.18","2,589.18",
28-Apr-2023,"2,573.44",+19.93,+0.78%,"2,558.07","2,550.43","2,573.44",
27-Apr-2023,"2,553.51",+35.65,+1.42%,"2,520.31","2,519.22","2,556.28",
26-Apr-2023,"2,517.86",-24.55,-0.97%,"2,526.12","2,514.12","2,532.47",
25-Apr-2023,"2,542.41",-17.92,-0.70%,"2,578.74","2,542.36","2,579.60",
24-Apr-2023,"2,560.33",-9.14,-0.36%,"2,558.72","2,549.10","2,562.99",
21-Apr-2023,"2,569.47",-4.20,-0.16%,"2,567.56","2,559.33","2,572.69",
20-Apr-2023,"2,573.68",-12.95,-0.50%,"2,581.86","2,565.75","2,584.11",
19-Apr-2023,"2,586.63",+1.74,+0.07%,"2,589.40","2,577.83","2,589.93",
18-Apr-2023,"2,584.89",-2.75,-0.11%,"2,578.09","2,577.71","2,591.89",
17-Apr-2023,"2,587.63",+18.77,+0.73%,"2,584.86","2,575.74","2,588.69",
14-Apr-2023,"2,568.86",+7.11,+0.28%,"2,572.93","2,556.30","2,582.92",
13-Apr-2023,"2,561.76",+17.87,+0.70%,"2,531.91","2,531.18","2,563.76",
12-Apr-2023,"2,543.89",-19.88,-0.78%,"2,546.33","2,542.49","2,564.78",
11-Apr-2023,"2,563.77",-2.05,-0.08%,"2,557.21","2,557.21","2,570.26",
10-Apr-2023,"2,565.81",+5.14,+0.20%,"2,569.72","2,549.95","2,569.85",
07-Apr-2023,"2,560.68",+5.64,+0.22%,"2,560.64","2,560.34","2,561.32",
06-Apr-2023,"2,555.03",+1.56,+0.06%,"2,548.10","2,537.16","2,556.30",
05-Apr-2023,"2,553.47",-0.21,-0.01%,"2,564.13","2,544.75","2,564.44",
04-Apr-2023,"2,553.68",-19.63,-0.76%,"2,560.92","2,547.04","2,568.81",
03-Apr-2023,"2,573.31",-2.04,-0.08%,"2,559.81","2,559.26","2,576.16",
31-Mar-2023,"2,575.35",+43.74,+1.73%,"2,545.89","2,545.49","2,575.42",
30-Mar-2023,"2,531.61",+5.18,+0.21%,"2,513.73","2,511.47","2,534.73",
29-Mar-2023,"2,526.43",+31.97,+1.28%,"2,494.93","2,494.43","2,527.75",
28-Mar-2023,"2,494.46",-8.71,-0.35%,"2,493.57","2,486.84","2,500.12",
27-Mar-2023,"2,503.17",+0.58,+0.02%,"2,494.57","2,493.33","2,515.60",
24-Mar-2023,"2,502.59",+12.43,+0.50%,"2,503.80","2,473.47","2,504.90",
23-Mar-2023,"2,490.16",+15.62,+0.63%,"2,484.18","2,475.29","2,517.09",
22-Mar-2023,"2,474.54",-44.10,-1.75%,"2,498.88","2,474.54","2,527.27",
21-Mar-2023,"2,518.65",+20.02,+0.80%,"2,488.20","2,486.87","2,521.55",
20-Mar-2023,"2,498.63",+8.29,+0.33%,"2,479.43","2,466.84","2,502.25",
17-Mar-2023,"2,490.34",-34.87,-1.38%,"2,511.56","2,481.60","2,521.21",
16-Mar-2023,"2,525.21",+30.20,+1.21%,"2,486.81","2,475.37","2,526.68",
15-Mar-2023,"2,495.01",+3.07,+0.12%,"2,529.63","2,470.52","2,533.03",
14-Mar-2023,"2,491.94",+27.94,+1.13%,"2,462.73","2,453.78","2,500.95",
13-Mar-2023,"2,464.00",-32.84,-1.32%,"2,476.69","2,439.49","2,487.87",
10-Mar-2023,"2,496.85",-46.79,-1.84%,"2,528.63","2,486.60","2,528.65",
09-Mar-2023,"2,543.64",-41.00,-1.59%,"2,574.67","2,539.65","2,590.91",
08-Mar-2023,"2,584.64",+1.14,+0.04%,"2,581.79","2,573.63","2,590.85",
07-Mar-2023,"2,583.49",-5.59,-0.22%,"2,621.15","2,578.31","2,623.39",
06-Mar-2023,"2,589.09",-4.95,-0.19%,"2,586.40","2,585.44","2,603.68",
